sim_time,cart_joint_position,pole_joint_position,cart_joint_velocity,pole_joint_velocity,control_input_0
1.422000000,0.007230527,-0.006837094,-0.008343524,0.028578336,0.061561377
1.442000000,0.007072541,-0.006285070,-0.007549319,0.026811722,0.055456888
1.462000000,0.006929479,-0.005767638,-0.006841310,0.025112653,0.049814349
1.482000000,0.006799694,-0.005283434,-0.006212531,0.023482187,0.044608876
1.502000000,0.006681676,-0.004831078,-0.005656423,0.021920891,0.039816192
1.522000000,0.006574038,-0.004409187,-0.005166821,0.020428905,0.035412687
1.542000000,0.006475515,-0.004016374,-0.004737938,0.019005982,0.031375461
1.562000000,0.006384952,-0.003651266,-0.004364357,0.017651539,0.027682364
1.582000000,0.006301301,-0.003312501,-0.004041007,0.016364701,0.024312027
1.600000000,0.006231135,-0.003029028,-0.003789023,0.015263419,0.021537663
1.622000000,0.006151014,-0.002708667,-0.003526401,0.013989096,0.018458160
1.642000000,0.006082741,-0.002440997,-0.003326636,0.012897440,0.015935946
1.662000000,0.006018092,-0.002194476,-0.003160056,0.011867677,0.013659133
1.682000000,0.005956444,-0.001967887,-0.003023133,0.010897982,0.011610445
1.702000000,0.005897238,-0.001760048,-0.002912605,0.009986430,0.009773430
1.722000000,0.005839980,-0.001569820,-0.002825461,0.009131010,0.008132446
1.742000000,0.005784235,-0.001396102,-0.002758927,0.008329651,0.006672652
1.762000000,0.005729617,-0.001237837,-0.002710454,0.007580238,0.005379995
1.782000000,0.005675793,-0.001094008,-0.002677705,0.006880629,0.004241185
1.802000000,0.005622470,-0.000963644,-0.002658540,0.006228668,0.003243685
1.822000000,0.005569400,-0.000845815,-0.002651009,0.005622200,0.002375681
1.842000000,0.005516369,-0.000739635,-0.002653335,0.005059081,0.001626065
1.862000000,0.005463198,-0.000644261,-0.002663907,0.004537189,0.000984412
1.882000000,0.005409739,-0.000558890,-0.002681264,0.004054431,0.000440951
1.902000000,0.005355871,-0.000482763,-0.002704092,0.003608754,-0.000013458
1.922000000,0.005301497,-0.000415161,-0.002731207,0.003198147,-0.000387347
1.942000000,0.005246544,-0.000355404,-0.002761550,0.002820650,-0.000688670
1.962000000,0.005190957,-0.000302850,-0.002794177,0.002474356,-0.000924825
1.982000000,0.005134700,-0.000256896,-0.002828249,0.002157418,-0.001102682
2.002000000,0.005077753,-0.000216975,-0.002863025,0.001868047,-0.001228608
2.022000000,0.005020109,-0.000182554,-0.002897855,0.001604520,-0.001308493
2.042000000,0.004961773,-0.000153135,-0.002932172,0.001365178,-0.001347771
2.062000000,0.004902762,-0.000128252,-0.002965486,0.001148429,-0.001351451
2.082000000,0.004843098,-0.000107469,-0.002997376,0.000952746,-0.001324134
2.102000000,0.004782816,-0.000090382,-0.003027483,0.000776671,-0.001270041
2.122000000,0.004721955,-0.000076614,-0.003055510,0.000618814,-0.001193030
2.142000000,0.004660558,-0.000065815,-0.003081209,0.000477849,-0.001096624
2.162000000,0.004598675,-0.000057662,-0.003104382,0.000352516,-0.000984030
2.182000000,0.004536357,-0.000051854,-0.003124874,0.000241623,-0.000858154
2.202000000,0.004473660,-0.000048116,-0.003142566,0.000144037,-0.000721629
2.222000000,0.004410641,-0.000046194,-0.003157378,0.000058692,-0.000576827
2.242000000,0.004347358,-0.000045853,-0.003169259,-0.000015422,-0.000425878
2.262000000,0.004283870,-0.000046880,-0.003178184,-0.000079254,-0.000270691
2.282000000,0.004220236,-0.000049078,-0.003184154,-0.000133696,-0.000112965
2.302000000,0.004156514,-0.000052270,-0.003187192,-0.000179584,0.000045794
2.322000000,0.004092764,-0.000056294,-0.003187338,-0.000217705,0.000204255
2.342000000,0.004029042,-0.000061001,-0.003184649,-0.000248790,0.000361253
2.362000000,0.003965405,-0.000066259,-0.003179196,-0.000273525,0.000515775
2.382000000,0.003901906,-0.000071947,-0.003171061,-0.000292547,0.000666942
2.400000000,0.003844919,-0.000077346,-0.003161523,-0.000305273,0.000799505
2.422000000,0.003775533,-0.000084198,-0.003147124,-0.000315781,0.000956337
2.442000000,0.003712758,-0.000090578,-0.003131529,-0.000321054,0.001093402
2.462000000,0.003650321,-0.000097023,-0.003113664,-0.000322738,0.001224770
2.482000000,0.003588264,-0.000103466,-0.003093644,-0.000321268,0.001350098
2.502000000,0.003526631,-0.000109849,-0.003071589,-0.000317045,0.001469118
2.522000000,0.003465459,-0.000116121,-0.003047618,-0.000310436,0.001581633
2.542000000,0.003404788,-0.000122238,-0.003021852,-0.000301778,0.001687512
2.562000000,0.003344650,-0.000128162,-0.002994411,-0.000291380,0.001786677
2.582000000,0.003285078,-0.000133861,-0.002965416,-0.000279521,0.001879102
2.602000000,0.003226102,-0.000139310,-0.002934985,-0.000266458,0.001964805
2.622000000,0.003167750,-0.000144486,-0.002903235,-0.000252421,0.002043844
2.642000000,0.003110046,-0.000149372,-0.002870279,-0.000237620,0.002116309
2.662000000,0.003053013,-0.000153957,-0.002836228,-0.000222244,0.002182320
2.682000000,0.002996672,-0.000158228,-0.002801191,-0.000206461,0.002242024
2.702000000,0.002941042,-0.000162181,-0.002765272,-0.000190422,0.002295588
2.722000000,0.002886139,-0.000165812,-0.002728572,-0.000174263,0.002343196
2.742000000,0.002831978,-0.000169120,-0.002691187,-0.000158101,0.002385048
2.762000000,0.002778571,-0.000172105,-0.002653210,-0.000142041,0.002421357
2.782000000,0.002725929,-0.000174771,-0.002614731,-0.000126176,0.002452344
2.802000000,0.002674062,-0.000177122,-0.002575834,-0.000110585,0.002478235
2.822000000,0.002622976,-0.000179166,-0.002536599,-0.000095335,0.002499265
2.842000000,0.002572678,-0.000180908,-0.002497103,-0.000080486,0.002515670
2.862000000,0.002523173,-0.000182359,-0.002457417,-0.000066086,0.002527685
2.882000000,0.002474462,-0.000183527,-0.002417610,-0.000052176,0.002535549
2.902000000,0.002426548,-0.000184422,-0.002377746,-0.000038789,0.002539496
2.922000000,0.002379432,-0.000185056,-0.002337883,-0.000025951,0.002539760
2.942000000,0.002333112,-0.000185439,-0.002298079,-0.000013681,0.002536569
2.962000000,0.002287587,-0.000185583,-0.002258386,-0.000001994,0.002530147
2.982000000,0.002242855,-0.000185500,-0.002218851,0.000009101,0.002520715
3.002000000,0.002198911,-0.000185201,-0.002179520,0.000019600,0.002508485
3.022000000,0.002155751,-0.000184699,-0.002140433,0.000029502,0.002493664
3.042000000,0.002113370,-0.000184006,-0.002101630,0.000038810,0.002476453
3.062000000,0.002071761,-0.000183133,-0.002063144,0.000047530,0.002457044
3.082000000,0.002030918,-0.000182092,-0.002025008,0.000055671,0.002435623
3.102000000,0.001990834,-0.000180894,-0.001987251,0.000063244,0.002412367
3.122000000,0.001951500,-0.000179551,-0.001949898,0.000070261,0.002387448
3.142000000,0.001912909,-0.000178074,-0.001912973,0.000076738,0.002361026
3.162000000,0.001875052,-0.000176473,-0.001876497,0.000082690,0.002333258
3.182000000,0.001837919,-0.000174758,-0.001840488,0.000088135,0.002304289
3.202000000,0.001801501,-0.000172940,-0.001804962,0.000093091,0.002274259
3.222000000,0.001765788,-0.000171028,-0.001769934,0.000097577,0.002243299
3.242000000,0.001730770,-0.000169032,-0.001735416,0.000101612,0.002211533
3.262000000,0.001696436,-0.000166959,-0.001701418,0.000105216,0.002179079
3.282000000,0.001662777,-0.000164819,-0.001667949,0.000108408,0.002146045
3.300000000,0.001633051,-0.000162842,-0.001638284,0.000110947,0.002115905
3.322000000,0.001597438,-0.000160368,-0.001602622,0.000113640,0.002078644
3.342000000,0.001565737,-0.000158072,-0.001570774,0.000115719,0.002044462
3.362000000,0.001534666,-0.000155737,-0.001539473,0.000117467,0.002010071
3.382000000,0.001504216,-0.000153372,-0.001508722,0.000118901,0.001975549
3.402000000,0.001474375,-0.000150981,-0.001478519,0.000120042,0.001940968
3.422000000,0.001445131,-0.000148570,-0.001448865,0.000120908,0.001906393
3.442000000,0.001416475,-0.000146145,-0.001419758,0.000121517,0.001871884
3.462000000,0.001388395,-0.000143710,-0.001391196,0.000121885,0.001837497
3.482000000,0.001360880,-0.000141270,-0.001363174,0.000122031,0.001803283
3.502000000,0.001333920,-0.000138830,-0.001335690,0.000121969,0.001769288
3.522000000,0.001307504,-0.000136393,-0.001308738,0.000121716,0.001735554
3.542000000,0.001281620,-0.000133963,-0.001282314,0.000121287,0.001702118
3.562000000,0.001256260,-0.000131544,-0.001256411,0.000120695,0.001669015
3.582000000,0.001231412,-0.000129138,-0.001231023,0.000119955,0.001636275
3.602000000,0.001207066,-0.000126748,-0.001206144,0.000119080,0.001603924
3.622000000,0.001183212,-0.000124377,-0.001181767,0.000118081,0.001571987
3.642000000,0.001159840,-0.000122028,-0.001157885,0.000116971,0.001540483
3.662000000,0.001136941,-0.000119701,-0.001134490,0.000115761,0.001509433
3.682000000,0.001114504,-0.000117400,-0.001111575,0.000114461,0.001478850
3.702000000,0.001092520,-0.000115126,-0.001089131,0.000113082,0.001448747
3.722000000,0.001070980,-0.000112880,-0.001067151,0.000111632,0.001419137
3.742000000,0.001049874,-0.000110664,-0.001045626,0.000110120,0.001390026
3.762000000,0.001029194,-0.000108479,-0.001024548,0.000108554,0.001361423
3.782000000,0.001008931,-0.000106326,-0.001003909,0.000106943,0.001333332
3.802000000,0.000989076,-0.000104205,-0.000983701,0.000105293,0.001305756
3.822000000,0.000969620,-0.000102117,-0.000963915,0.000103611,0.001278698
3.842000000,0.000950556,-0.000100064,-0.000944543,0.000101903,0.001252159
3.862000000,0.000931874,-0.000098045,-0.000925576,0.000100174,0.001226137
3.882000000,0.000913567,-0.000096061,-0.000907007,0.000098431,0.001200632
3.902000000,0.000895628,-0.000094111,-0.000888827,0.000096677,0.001175640
3.922000000,0.000878048,-0.000092197,-0.000871028,0.000094918,0.001151158
3.942000000,0.000860820,-0.000090318,-0.000853601,0.000093157,0.001127182
3.962000000,0.000843936,-0.000088474,-0.000836540,0.000091399,0.001103707
3.982000000,0.000827389,-0.000086666,-0.000819836,0.000089646,0.001080726
