elapsed time,timestamp,topic,value
424.966,1782753537.547000000,/sim_time.data,20.319999999999617
424.97,1782753537.551000000,/sim_time.data,20.321999999999615
424.972,1782753537.553000000,/sim_time.data,20.323999999999614
424.972,1782753537.553000000,/sim_time.data,20.325999999999613
424.972,1782753537.553000000,/sim_time.data,20.327999999999612
424.972,1782753537.553000000,/sim_time.data,20.32999999999961
424.972,1782753537.553000000,/sim_time.data,20.33199999999961
424.972,1782753537.553000000,/sim_time.data,20.33399999999961
424.974,1782753537.555000000,/sim_time.data,20.335999999999608
424.974,1782753537.555000000,/sim_time.data,20.337999999999607
424.975,1782753537.556000000,/sim_time.data,20.339999999999606
424.976,1782753537.557000000,/sim_time.data,20.341999999999604
424.977,1782753537.558000000,/sim_time.data,20.343999999999603
424.978,1782753537.559000000,/sim_time.data,20.345999999999602
424.979,1782753537.560000000,/sim_time.data,20.3479999999996
424.98,1782753537.561000000,/sim_time.data,20.3499999999996
424.981,1782753537.562000000,/sim_time.data,20.3519999999996
424.983,1782753537.564000000,/sim_time.data,20.353999999999598
424.987,1782753537.568000000,/sim_time.data,20.355999999999597
424.989,1782753537.570000000,/sim_time.data,20.357999999999596
424.989,1782753537.570000000,/sim_time.data,20.359999999999594
424.989,1782753537.570000000,/sim_time.data,20.361999999999593
424.989,1782753537.570000000,/sim_time.data,20.363999999999592
424.989,1782753537.570000000,/sim_time.data,20.36599999999959
424.989,1782753537.570000000,/sim_time.data,20.36799999999959
424.991,1782753537.572000000,/sim_time.data,20.36999999999959
424.991,1782753537.572000000,/sim_time.data,20.371999999999588
424.992,1782753537.573000000,/sim_time.data,20.373999999999587
424.993,1782753537.574000000,/sim_time.data,20.375999999999586
424.994,1782753537.575000000,/sim_time.data,20.377999999999584
424.995,1782753537.576000000,/sim_time.data,20.379999999999583
424.996,1782753537.577000000,/sim_time.data,20.381999999999582
424.997,1782753537.578000000,/sim_time.data,20.38399999999958
424.999,1782753537.580000000,/sim_time.data,20.38599999999958
425.003,1782753537.584000000,/sim_time.data,20.38799999999958
425.005,1782753537.586000000,/sim_time.data,20.389999999999578
425.005,1782753537.586000000,/sim_time.data,20.391999999999577
425.005,1782753537.586000000,/sim_time.data,20.393999999999576
425.005,1782753537.586000000,/sim_time.data,20.395999999999574
425.005,1782753537.586000000,/sim_time.data,20.397999999999573
425.005,1782753537.586000000,/sim_time.data,20.399999999999572
425.007,1782753537.588000000,/sim_time.data,20.40199999999957
425.007,1782753537.588000000,/sim_time.data,20.40399999999957
425.008,1782753537.589000000,/sim_time.data,20.40599999999957
425.009,1782753537.590000000,/sim_time.data,20.407999999999568
425.01,1782753537.591000000,/sim_time.data,20.409999999999567
425.011,1782753537.592000000,/sim_time.data,20.411999999999566
425.012,1782753537.593000000,/sim_time.data,20.413999999999564
425.013,1782753537.594000000,/sim_time.data,20.415999999999563
425.014,1782753537.595000000,/sim_time.data,20.417999999999562
425.016,1782753537.597000000,/sim_time.data,20.41999999999956
425.021,1782753537.602000000,/sim_time.data,20.42199999999956
425.022,1782753537.603000000,/sim_time.data,20.42399999999956
425.022,1782753537.603000000,/sim_time.data,20.425999999999558
425.022,1782753537.603000000,/sim_time.data,20.427999999999557
425.022,1782753537.603000000,/sim_time.data,20.429999999999556
425.022,1782753537.603000000,/sim_time.data,20.431999999999555
425.022,1782753537.603000000,/sim_time.data,20.433999999999553
425.023,1782753537.604000000,/sim_time.data,20.435999999999552
425.024,1782753537.605000000,/sim_time.data,20.43799999999955
425.025,1782753537.606000000,/sim_time.data,20.43999999999955
425.026,1782753537.607000000,/sim_time.data,20.44199999999955
425.027,1782753537.608000000,/sim_time.data,20.443999999999548
425.028,1782753537.609000000,/sim_time.data,20.445999999999547
425.029,1782753537.610000000,/sim_time.data,20.447999999999546
425.03,1782753537.611000000,/sim_time.data,20.449999999999545
425.032,1782753537.613000000,/sim_time.data,20.451999999999543
425.036,1782753537.617000000,/sim_time.data,20.453999999999542
425.038,1782753537.619000000,/sim_time.data,20.45599999999954
425.038,1782753537.619000000,/sim_time.data,20.45799999999954
425.038,1782753537.619000000,/sim_time.data,20.45999999999954
425.038,1782753537.619000000,/sim_time.data,20.461999999999538
425.038,1782753537.619000000,/sim_time.data,20.463999999999537
425.038,1782753537.619000000,/sim_time.data,20.465999999999536
425.04,1782753537.621000000,/sim_time.data,20.467999999999535
425.04,1782753537.621000000,/sim_time.data,20.469999999999533
425.041,1782753537.622000000,/sim_time.data,20.471999999999532
425.042,1782753537.623000000,/sim_time.data,20.47399999999953
425.043,1782753537.624000000,/sim_time.data,20.47599999999953
425.044,1782753537.625000000,/sim_time.data,20.47799999999953
425.045,1782753537.626000000,/sim_time.data,20.479999999999528
425.046,1782753537.627000000,/sim_time.data,20.481999999999527
425.047,1782753537.628000000,/sim_time.data,20.483999999999526
425.049,1782753537.630000000,/sim_time.data,20.485999999999525
425.053,1782753537.634000000,/sim_time.data,20.487999999999523
425.055,1782753537.636000000,/sim_time.data,20.489999999999522
425.055,1782753537.636000000,/sim_time.data,20.49199999999952
425.055,1782753537.636000000,/sim_time.data,20.49399999999952
425.055,1782753537.636000000,/sim_time.data,20.49599999999952
425.055,1782753537.636000000,/sim_time.data,20.497999999999518
425.055,1782753537.636000000,/sim_time.data,20.499999999999517
425.057,1782753537.638000000,/sim_time.data,20.501999999999516
425.057,1782753537.638000000,/sim_time.data,20.503999999999515
425.058,1782753537.639000000,/sim_time.data,20.505999999999514
425.059,1782753537.640000000,/sim_time.data,20.507999999999512
425.06,1782753537.641000000,/sim_time.data,20.50999999999951
425.061,1782753537.642000000,/sim_time.data,20.51199999999951
425.062,1782753537.643000000,/sim_time.data,20.51399999999951
425.063,1782753537.644000000,/sim_time.data,20.515999999999508
425.064,1782753537.645000000,/sim_time.data,20.517999999999507
425.066,1782753537.647000000,/sim_time.data,20.519999999999506
425.069,1782753537.650000000,/sim_time.data,20.521999999999505
425.072,1782753537.653000000,/sim_time.data,20.523999999999504
425.072,1782753537.653000000,/sim_time.data,20.525999999999502
425.072,1782753537.653000000,/sim_time.data,20.5279999999995
425.072,1782753537.653000000,/sim_time.data,20.5299999999995
425.072,1782753537.653000000,/sim_time.data,20.5319999999995
425.072,1782753537.653000000,/sim_time.data,20.533999999999498
425.074,1782753537.655000000,/sim_time.data,20.535999999999497
425.074,1782753537.655000000,/sim_time.data,20.537999999999496
425.075,1782753537.656000000,/sim_time.data,20.539999999999495
425.076,1782753537.657000000,/sim_time.data,20.541999999999494
425.077,1782753537.658000000,/sim_time.data,20.543999999999492
425.078,1782753537.659000000,/sim_time.data,20.54599999999949
425.079,1782753537.660000000,/sim_time.data,20.54799999999949
425.08,1782753537.661000000,/sim_time.data,20.54999999999949
425.082,1782753537.663000000,/sim_time.data,20.551999999999488
425.086,1782753537.667000000,/sim_time.data,20.553999999999487
425.088,1782753537.669000000,/sim_time.data,20.555999999999486
425.088,1782753537.669000000,/sim_time.data,20.557999999999485
425.088,1782753537.669000000,/sim_time.data,20.559999999999484
425.088,1782753537.669000000,/sim_time.data,20.561999999999482
425.088,1782753537.669000000,/sim_time.data,20.56399999999948
425.088,1782753537.669000000,/sim_time.data,20.56599999999948
425.09,1782753537.671000000,/sim_time.data,20.56799999999948
425.09,1782753537.671000000,/sim_time.data,20.569999999999478
425.091,1782753537.672000000,/sim_time.data,20.571999999999477
425.092,1782753537.673000000,/sim_time.data,20.573999999999476
425.093,1782753537.674000000,/sim_time.data,20.575999999999475
425.094,1782753537.675000000,/sim_time.data,20.577999999999474
425.095,1782753537.676000000,/sim_time.data,20.579999999999472
425.096,1782753537.677000000,/sim_time.data,20.58199999999947
425.097,1782753537.678000000,/sim_time.data,20.58399999999947
425.099,1782753537.680000000,/sim_time.data,20.58599999999947
425.103,1782753537.684000000,/sim_time.data,20.587999999999468
425.105,1782753537.686000000,/sim_time.data,20.589999999999467
425.105,1782753537.686000000,/sim_time.data,20.591999999999466
425.105,1782753537.686000000,/sim_time.data,20.593999999999465
425.105,1782753537.686000000,/sim_time.data,20.595999999999464
425.105,1782753537.686000000,/sim_time.data,20.597999999999463
425.105,1782753537.686000000,/sim_time.data,20.59999999999946
425.107,1782753537.688000000,/sim_time.data,20.60199999999946
425.107,1782753537.688000000,/sim_time.data,20.60399999999946
425.108,1782753537.689000000,/sim_time.data,20.605999999999458
425.109,1782753537.690000000,/sim_time.data,20.607999999999457
425.11,1782753537.691000000,/sim_time.data,20.609999999999456
425.111,1782753537.692000000,/sim_time.data,20.611999999999455
425.112,1782753537.693000000,/sim_time.data,20.613999999999454
425.113,1782753537.694000000,/sim_time.data,20.615999999999453
425.114,1782753537.695000000,/sim_time.data,20.61799999999945
425.116,1782753537.697000000,/sim_time.data,20.61999999999945
425.119,1782753537.700000000,/sim_time.data,20.62199999999945
425.122,1782753537.703000000,/sim_time.data,20.623999999999448
425.122,1782753537.703000000,/sim_time.data,20.625999999999447
425.122,1782753537.703000000,/sim_time.data,20.627999999999446
425.122,1782753537.703000000,/sim_time.data,20.629999999999445
425.122,1782753537.703000000,/sim_time.data,20.631999999999444
425.122,1782753537.703000000,/sim_time.data,20.633999999999443
425.123,1782753537.704000000,/sim_time.data,20.63599999999944
425.124,1782753537.705000000,/sim_time.data,20.63799999999944
425.125,1782753537.706000000,/sim_time.data,20.63999999999944
425.126,1782753537.707000000,/sim_time.data,20.641999999999438
425.127,1782753537.708000000,/sim_time.data,20.643999999999437
425.128,1782753537.709000000,/sim_time.data,20.645999999999436
425.129,1782753537.710000000,/sim_time.data,20.647999999999435
425.13,1782753537.711000000,/sim_time.data,20.649999999999434
425.132,1782753537.713000000,/sim_time.data,20.651999999999433
425.135,1782753537.716000000,/sim_time.data,20.65399999999943
425.138,1782753537.719000000,/sim_time.data,20.65599999999943
425.138,1782753537.719000000,/sim_time.data,20.65799999999943
425.138,1782753537.719000000,/sim_time.data,20.659999999999428
425.138,1782753537.719000000,/sim_time.data,20.661999999999427
425.138,1782753537.719000000,/sim_time.data,20.663999999999426
425.14,1782753537.721000000,/sim_time.data,20.665999999999425
425.14,1782753537.721000000,/sim_time.data,20.667999999999424
425.141,1782753537.722000000,/sim_time.data,20.669999999999423
425.141,1782753537.722000000,/sim_time.data,20.67199999999942
425.142,1782753537.723000000,/sim_time.data,20.67399999999942
425.143,1782753537.724000000,/sim_time.data,20.67599999999942
425.144,1782753537.725000000,/sim_time.data,20.677999999999418
425.145,1782753537.726000000,/sim_time.data,20.679999999999417
425.146,1782753537.727000000,/sim_time.data,20.681999999999416
425.147,1782753537.728000000,/sim_time.data,20.683999999999415
425.149,1782753537.730000000,/sim_time.data,20.685999999999414
425.153,1782753537.734000000,/sim_time.data,20.687999999999413
425.155,1782753537.736000000,/sim_time.data,20.68999999999941
425.155,1782753537.736000000,/sim_time.data,20.69199999999941
425.155,1782753537.736000000,/sim_time.data,20.69399999999941
425.155,1782753537.736000000,/sim_time.data,20.695999999999408
425.155,1782753537.736000000,/sim_time.data,20.697999999999407
425.155,1782753537.736000000,/sim_time.data,20.699999999999406
425.157,1782753537.738000000,/sim_time.data,20.701999999999405
425.157,1782753537.738000000,/sim_time.data,20.703999999999404
425.158,1782753537.739000000,/sim_time.data,20.705999999999403
425.159,1782753537.740000000,/sim_time.data,20.7079999999994
425.16,1782753537.741000000,/sim_time.data,20.7099999999994
425.161,1782753537.742000000,/sim_time.data,20.7119999999994
425.162,1782753537.743000000,/sim_time.data,20.7139999999994
425.163,1782753537.744000000,/sim_time.data,20.715999999999397
425.164,1782753537.745000000,/sim_time.data,20.717999999999396
425.166,1782753537.747000000,/sim_time.data,20.719999999999395
425.172,1782753537.753000000,/sim_time.data,20.721999999999394
425.172,1782753537.753000000,/sim_time.data,20.723999999999393
425.172,1782753537.753000000,/sim_time.data,20.72599999999939
425.172,1782753537.753000000,/sim_time.data,20.72799999999939
425.172,1782753537.753000000,/sim_time.data,20.72999999999939
425.172,1782753537.753000000,/sim_time.data,20.73199999999939
425.172,1782753537.753000000,/sim_time.data,20.733999999999387
425.174,1782753537.755000000,/sim_time.data,20.735999999999386
425.174,1782753537.755000000,/sim_time.data,20.737999999999385
425.175,1782753537.756000000,/sim_time.data,20.739999999999384
425.176,1782753537.757000000,/sim_time.data,20.741999999999383
425.177,1782753537.758000000,/sim_time.data,20.74399999999938
425.178,1782753537.759000000,/sim_time.data,20.74599999999938
425.179,1782753537.760000000,/sim_time.data,20.74799999999938
425.18,1782753537.761000000,/sim_time.data,20.74999999999938
425.181,1782753537.762000000,/sim_time.data,20.751999999999377
425.182,1782753537.763000000,/sim_time.data,20.753999999999376
