sim_time,cart_joint_position,pole_joint_position,cart_joint_velocity,pole_joint_velocity,control_input_0
1.426000000,0.007197652,-0.006723857,-0.008177439,0.028219678,0.060302310
1.446000000,0.007042789,-0.006178859,-0.007401051,0.026466463,0.054292229
1.466000000,0.006902510,-0.005668183,-0.006709432,0.024781047,0.048739075
1.486000000,0.006775195,-0.005190459,-0.006095698,0.023164384,0.043618081
1.506000000,0.006659360,-0.004744307,-0.005553372,0.021616952,0.038905100
1.526000000,0.006553642,-0.004328342,-0.005076365,0.020138809,0.034576659
1.546000000,0.006456800,-0.003941180,-0.004658965,0.018729639,0.030610006
1.566000000,0.006367701,-0.003581449,-0.004295824,0.017388796,0.026983146
1.586000000,0.006285314,-0.003247791,-0.003981942,0.016115351,0.023674866
1.606000000,0.006208708,-0.002938872,-0.003712654,0.014908126,0.020664757
1.626000000,0.006137037,-0.002653381,-0.003483614,0.013765730,0.017933228
1.646000000,0.006069542,-0.002390040,-0.003290782,0.012686593,0.015461516
1.666000000,0.006005541,-0.002147602,-0.003130407,0.011668993,0.013231684
1.686000000,0.005944424,-0.001924856,-0.002999016,0.010711084,0.011226621
1.706000000,0.005885645,-0.001720630,-0.002893398,0.009810921,0.009430037
1.726000000,0.005828723,-0.001533790,-0.002810590,0.008966481,0.007826453
1.746000000,0.005773233,-0.001363246,-0.002747865,0.008175681,0.006401186
1.766000000,0.005718799,-0.001207948,-0.002702717,0.007436401,0.005140337
1.786000000,0.005665097,-0.001066889,-0.002672850,0.006746494,0.004030769
1.806000000,0.005611843,-0.000939104,-0.002656162,0.006103804,0.003060090
1.826000000,0.005558797,-0.000823675,-0.002650740,0.005506176,0.002216630
1.846000000,0.005505751,-0.000719722,-0.002654839,0.004951472,0.001489420
1.866000000,0.005452534,-0.000626411,-0.002666879,0.004437573,0.000868166
1.884000000,0.005404373,-0.000550874,-0.002683321,0.004008228,0.000391648
1.906000000,0.005345039,-0.000468583,-0.002709208,0.003523891,-0.000094415
1.926000000,0.005290555,-0.000402603,-0.002737049,0.003120061,-0.000453173
1.946000000,0.005235478,-0.000344337,-0.002767921,0.002748955,-0.000740887
1.966000000,0.005179760,-0.000293150,-0.002800901,0.002408678,-0.000964849
1.986000000,0.005123366,-0.000248447,-0.002835169,0.002097394,-0.001131826
2.006000000,0.005066280,-0.000209667,-0.002870006,0.001813328,-0.001248088
2.026000000,0.005008497,-0.000176285,-0.002904776,0.001554769,-0.001319431
2.046000000,0.004950024,-0.000147810,-0.002938930,0.001320070,-0.001351202
2.066000000,0.004890880,-0.000123780,-0.002971991,0.001107654,-0.001348327
2.086000000,0.004831090,-0.000103769,-0.003003550,0.000916008,-0.001315329
2.106000000,0.004770689,-0.000087375,-0.003033264,0.000743686,-0.001256354
2.126000000,0.004709717,-0.000074228,-0.003060843,0.000589311,-0.001175193
2.146000000,0.004648219,-0.000063983,-0.003086052,0.000451571,-0.001075303
2.166000000,0.004586244,-0.000056322,-0.003108699,0.000329219,-0.000959829
2.186000000,0.004523846,-0.000050949,-0.003128639,0.000221076,-0.000831622
2.206000000,0.004461080,-0.000047594,-0.003145761,0.000126022,-0.000693259
2.226000000,0.004398004,-0.000046006,-0.003159990,0.000043002,-0.000547064
2.246000000,0.004334675,-0.000045955,-0.003171280,-0.000028982,-0.000395122
